ExperimentName	Subject	Session	SessionTime	Cooccurrences	testWait.RESP	testWait.RT	Picture	sound	TestList.Sample
5_1	20	1	16:44:33	1	0	740	10	9	34
5_1	20	1	16:44:33	2	0	4	18	14	35
5_1	20	1	16:44:33	0	0	907	17	13	36
5_1	20	1	16:44:33	4	0	26	11	7	37
5_1	20	1	16:44:33	1	0	53	6	12	38
5_1	20	1	16:44:33	1	0	177	9	10	39
5_1	20	1	16:44:33	3	0	311	6	9	40
5_1	20	1	16:44:33	6	2	271	12	12	41
5_1	20	1	16:44:33	4	0	1504	15	4	42
5_1	20	1	16:44:33	6	0	831	6	6	43
5_1	20	1	16:44:33	0	0	298	5	2	44
5_1	20	1	16:44:33	1	0	1	8	16	45
5_1	20	1	16:44:33	6	3	629	17	17	46
5_1	20	1	16:44:33	3	0	197	12	15	47
5_1	20	1	16:44:33	0	0	3	13	7	48
5_1	20	1	16:44:33	6	2	470	18	18	49
5_1	20	1	16:44:33	1	0	106	2	16	50
5_1	20	1	16:44:33	0	0	356	11	15	51
5_1	20	1	16:44:33	3	0	388	14	16	52
5_1	20	1	16:44:33	1	0	136	9	15	53
5_1	20	1	16:44:33	4	0	1204	14	5	54
5_1	20	1	16:44:33	1	0	1328	3	14	55
5_1	20	1	16:44:33	0	0	357	16	3	56
5_1	20	1	16:44:33	2	2	662	16	13	57
5_1	20	1	16:44:33	2	0	1599	15	17	58
5_1	20	1	16:44:33	6	0	52	3	3	59
5_1	20	1	16:44:33	0	0	258	1	3	60
5_1	20	1	16:44:33	2	0	22	12	11	61
5_1	20	1	16:44:33	2	0	130	5	18	62
5_1	20	1	16:44:33	3	0	366	2	18	63
5_1	20	1	16:44:33	1	0	165	2	14	64
5_1	20	1	16:44:33	6	2	1316	14	14	65
5_1	20	1	16:44:33	0	0	403	18	8	66
5_1	20	1	16:44:33	2	0	193	17	9	67
5_1	20	1	16:44:33	4	0	225	16	1	68
5_1	20	1	16:44:33	1	0	821	1	18	69
5_1	20	1	16:44:33	3	0	1641	17	6	70
